entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_type
2015-07-07,2015-07-08,172.99456494205364,172.54315319146906,492,-222.09458128761491,trend
2015-07-24,2015-07-27,173.27033349229785,172.9778072233487,435,-127.24892699288475,trend
2015-08-19,2015-08-20,173.6883023863461,172.6183787412695,477,-510.35357870153115,trend
2015-10-29,2015-10-30,173.9274884368756,175.65838682947495,446,771.9806830993134,trend
2015-11-10,2015-11-11,175.0366256668099,175.50716237548625,483,227.26923029067646,trend
2015-11-20,2015-11-23,175.98608560962322,175.9272782073656,443,-26.051679200129172,trend
2015-11-27,2015-11-30,176.02806619859052,176.23809890874324,469,98.5053410616243,trend
2015-12-02,2015-12-03,175.97767012472167,175.46510695149848,480,-246.0303231471289,trend
2015-12-07,2015-12-08,172.7595905214948,173.49904531877345,383,283.2111873577245,trend
2015-12-30,2015-12-31,173.15384081635503,173.38204524222868,316,72.11259857607536,trend
2016-04-28,2016-04-29,170.11100010344728,175.6271615660197,357,1969.2696421383564,trend
2016-05-03,2016-05-04,175.79707628758385,174.15736446689803,553,-906.7606368392574,trend
2016-05-12,2016-05-13,175.62715279540032,175.1937829146734,577,-250.0544211794378,trend
2016-05-19,2016-05-20,174.13185457073453,174.0978810763577,580,-19.704626738557636,trend
2016-06-23,2016-06-24,175.15985700821594,173.90160498686507,495,-622.8347505686806,trend
2018-02-02,2018-02-05,172.06545337042272,240.68130277048735,329,22574.614452621263,vix_spike
2018-02-07,2018-02-08,236.32451994416607,235.89326729174834,253,-109.10692106168463,vix_spike
2018-07-20,2018-07-23,232.21415380783523,248.05631691118387,208,3295.169925496517,trend
2018-07-26,2018-07-27,250.13350835970348,251.83774292521235,504,858.9342210164702,trend
2018-10-10,2018-10-11,249.2636161061383,247.0659164559745,509,-1118.6291219333734,trend
2018-10-22,2018-10-23,246.78950427810025,241.5999793058806,327,-1696.9746659158282,trend
2018-11-09,2018-11-12,243.71322916141185,247.16411709722897,208,717.7846906499612,trend
2018-11-28,2018-11-29,240.39621058389733,244.061002768336,267,978.4995132451279,trend
2018-12-03,2018-12-04,244.15019508905894,248.21621516014721,272,1105.9574593360107,trend
2019-05-30,2019-05-31,259.5305518187939,248.81065210515442,466,-4995.47326655601,trend
2020-02-26,2020-02-27,249.63931664538063,279.14993383317045,286,8440.036515707889,trend+vix
2020-06-10,2020-06-11,285.1855712255686,286.306935800571,230,257.9138522505559,trend+vix
2020-07-27,2020-07-28,296.9565692677296,297.695243153104,322,237.85299109055563,trend
2020-07-29,2020-07-30,297.4090950917843,297.2059723944225,328,-66.62424473468172,trend
2020-09-02,2020-09-03,300.89912438191095,328.57000776099846,320,8854.682681308004,vix_spike
2020-09-22,2020-09-23,310.05812950649084,306.7385530033538,215,-713.7089481744672,vix_spike
2020-10-05,2020-10-06,299.0260243217955,315.0905952451243,193,3100.4621882024585,vix_spike
2020-10-16,2020-10-19,317.81595262377294,323.1924415429291,232,1247.3454292442257,vix_spike
2020-10-23,2020-10-26,320.67096306641724,317.14853512100905,276,-972.1901129326623,vix_spike
2021-01-26,2021-01-27,323.7393687910326,353.95968803310404,197,5953.402890688079,vix_spike
2021-02-24,2021-02-25,353.4291069607294,363.4459121163381,244,2444.100457968514,vix_spike
2021-03-03,2021-03-04,357.8044726689712,354.8906420427798,264,-769.2512853145254,vix_spike
2021-11-24,2021-11-26,354.18317328256677,434.61837171536075,246,19787.05881446732,vix_spike
2021-11-30,2021-12-01,436.24460804442816,433.9603158081163,352,-804.0708671817683,vix_spike
2021-12-02,2021-12-03,423.7044938415965,431.638417799551,274,2173.8951644795343,vix_spike
2022-01-20,2022-01-21,428.78070813331755,420.31599511855075,260,-2200.8253838393684,trend+vix
2022-02-10,2022-02-11,408.1657129140467,423.94778371267705,243,3835.0432040671735,trend
2022-02-16,2022-02-17,418.5896597934599,418.10851257856154,185,-89.01223475619076,trend+vix
2022-04-08,2022-04-11,414.4678490660908,420.24958914576314,162,936.6418929069155,trend
2022-11-30,2022-12-01,377.4023849238339,390.07504041496463,161,2040.297534072049,trend
2022-12-13,2022-12-14,391.4587178854205,383.2424937114521,244,-2004.7586984482998,trend
2023-01-17,2023-01-18,376.01025589251583,382.5098579883935,239,1553.4049009147614,trend
2023-01-27,2023-01-30,373.9683274907241,386.1431078861568,257,3128.918561626209,trend
2023-02-03,2023-02-06,388.45345165426824,392.84412145755863,277,1216.215535511439,trend
2023-02-08,2023-02-09,391.9621243970152,397.2730427680662,285,1513.6117357495357,trend
2023-03-08,2023-03-09,376.4415712731506,383.2096475110798,322,2179.320548613209,trend
2023-10-24,2023-10-25,370.82389491517466,408.93271643497314,276,10518.034739464381,trend
2024-08-02,2024-08-05,406.32535052662286,501.0954700551791,335,31747.990042066336,vix_spike
2025-03-07,2025-03-10,508.5191877541787,559.4741670846696,225,11464.870349360455,trend
2025-03-25,2025-03-26,564.3307537296456,568.6710483477373,197,855.0380397640573,trend
2025-05-21,2025-05-22,584.5489982766968,576.0563267018498,207,-1757.9830159933308,trend
2025-05-27,2025-05-28,579.4277528567243,584.8554566278126,238,1291.7934975190196,trend
2025-06-03,2025-06-04,585.6266079138771,590.1942585782981,245,1119.0744127831367,trend
2025-06-10,2025-06-11,593.4173023897237,597.3423765043648,332,1303.1246060608519,trend
2025-06-12,2025-06-13,593.2097458920864,591.7168252456129,334,-498.6354959221562,trend
2026-03-05,2026-03-06,590.0351674928282,671.5758690877306,333,27153.05363110247,vix_spike
2026-03-19,2026-03-20,664.5750801817165,656.510009765625,343,-2766.3191527193994,trend
